City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bucak,37.4592,30.595,5.29,89,91,1.1,TR,2023-04-01 23:19:35
1,merauke,-8.4667,140.3333,27.57,78,20,3.7,ID,2023-04-01 23:19:36
2,caravelas,-17.7125,-39.2481,26.04,77,1,4.03,BR,2023-04-01 23:19:37
3,albany,42.6001,-73.9662,14.09,74,15,3.63,US,2023-04-01 23:19:20
4,beringovskiy,63.05,179.3167,-8.06,67,55,8.81,RU,2023-04-01 23:19:38
5,punta arenas,-53.15,-70.9167,9.06,66,75,7.72,CL,2023-04-01 23:19:38
6,ushuaia,-54.8,-68.3,7.81,71,40,7.72,AR,2023-04-01 23:19:39
7,gobabis,-22.45,18.9667,21.64,22,50,3.08,NA,2023-04-01 23:19:40
8,fortuna,40.5982,-124.1573,10.55,78,100,1.79,US,2023-04-01 23:19:40
9,castro,-24.7911,-50.0119,19.6,81,61,1.37,BR,2023-04-01 23:19:41
10,hermanus,-34.4187,19.2345,17.11,88,1,3.92,ZA,2023-04-01 23:19:42
11,vaini,-21.2,-175.2,30.09,74,40,5.66,TO,2023-04-01 23:19:42
12,mataura,-46.1927,168.8643,13.04,98,100,1.84,NZ,2023-04-01 23:19:43
13,umbuzeiro,-7.6956,-35.6636,21.79,83,100,2.52,BR,2023-04-01 23:19:44
14,hobart,-42.8794,147.3294,15.14,72,75,4.63,AU,2023-04-01 23:19:44
15,kapaa,22.0752,-159.319,23.18,86,100,3.6,US,2023-04-01 23:19:45
16,peto,20.1333,-88.9167,34.78,28,23,3.51,MX,2023-04-01 23:19:45
17,erenhot,43.6475,111.9767,13.01,55,100,9.58,CN,2023-04-01 23:19:46
18,jamestown,42.097,-79.2353,3.07,93,100,9.77,US,2023-04-01 23:19:10
19,antalaha,-14.9003,50.2788,23.65,88,60,2.0,MG,2023-04-01 23:19:47
20,vondrozo,-22.8167,47.2833,19.13,99,100,1.9,MG,2023-04-01 23:19:47
21,sao felix do xingu,-6.6447,-51.995,23.29,95,77,0.72,BR,2023-04-01 23:19:48
22,cape town,-33.9258,18.4232,19.1,79,0,5.14,ZA,2023-04-01 23:16:33
23,rikitea,-23.1203,-134.9692,26.96,80,27,7.25,PF,2023-04-01 23:19:49
24,torbay,47.6666,-52.7314,1.88,67,75,8.75,CA,2023-04-01 23:19:49
25,iqaluit,63.7506,-68.5145,-16.15,77,20,1.03,CA,2023-04-01 23:19:50
26,kodiak,57.79,-152.4072,4.73,36,0,9.26,US,2023-04-01 23:15:23
27,busselton,-33.65,115.3333,14.05,91,2,3.49,AU,2023-04-01 23:19:52
28,bongandanga,1.5,21.05,21.75,77,47,1.41,CD,2023-04-01 23:19:52
29,banda aceh,5.5577,95.3222,25.92,80,76,3.08,ID,2023-04-01 23:19:53
30,tasiilaq,65.6145,-37.6368,-1.91,85,100,1.07,GL,2023-04-01 23:19:53
31,aktash,50.3,87.7333,-25.31,99,66,0.26,RU,2023-04-01 23:19:54
32,san lawrenz,36.0553,14.204,16.59,74,97,1.79,MT,2023-04-01 23:19:55
33,barrow,71.2906,-156.7887,-16.99,85,100,4.12,US,2023-04-01 23:16:06
34,buala,-8.145,159.5921,29.1,67,95,0.43,SB,2023-04-01 23:19:56
35,bredasdorp,-34.5322,20.0403,15.91,95,0,1.97,ZA,2023-04-01 23:19:57
36,jieshi,22.8134,115.8257,20.45,88,98,5.12,CN,2023-04-01 23:19:57
37,hualmay,-11.0964,-77.6139,24.89,81,100,3.64,PE,2023-04-01 23:19:58
38,new norfolk,-42.7826,147.0587,14.95,73,100,0.45,AU,2023-04-01 23:19:59
39,vila velha,-20.3297,-40.2925,28.3,84,40,1.03,BR,2023-04-01 23:20:00
40,maceio,-9.6658,-35.7353,24.69,94,0,2.06,BR,2023-04-01 23:08:14
41,fairbanks,64.8378,-147.7164,-1.33,51,40,5.14,US,2023-04-01 23:15:03
42,faya,18.3851,42.4509,14.29,85,73,2.83,SA,2023-04-01 23:20:02
43,ordzhonikidze,52.4411,61.7408,-0.63,76,6,3.14,KZ,2023-04-01 23:20:04
44,sioux lookout,50.1001,-91.917,1.04,32,75,3.09,CA,2023-04-01 23:20:04
45,balkanabat,39.5108,54.3671,7.87,74,99,5.38,TM,2023-04-01 23:15:29
46,hambantota,6.1241,81.1185,25.15,85,41,1.25,LK,2023-04-01 23:20:06
47,magway,20.15,94.9167,24.83,70,23,2.12,MM,2023-04-01 23:20:06
48,victor harbor,-35.5667,138.6167,11.49,62,24,3.82,AU,2023-04-01 23:20:07
49,khudumelapye,-23.8833,24.75,21.77,48,51,3.81,BW,2023-04-01 23:20:07
50,lagoa,39.05,-27.9833,15.83,92,84,11.47,PT,2023-04-01 23:20:08
51,waipawa,-41.4122,175.5153,19.12,62,33,7.04,NZ,2023-04-01 23:20:08
52,severo-kurilsk,50.6789,156.125,0.1,90,58,7.8,RU,2023-04-01 23:20:09
53,qaanaaq,77.484,-69.3632,-24.94,68,5,2.64,GL,2023-04-01 23:20:10
54,turukhansk,65.8167,87.9833,-6.79,94,100,11.09,RU,2023-04-01 23:20:10
55,camapua,-19.5314,-54.0439,23.3,78,10,2.11,BR,2023-04-01 23:20:11
56,los llanos de aridane,28.6585,-17.9182,16.86,82,0,5.14,ES,2023-04-01 23:20:12
57,ryotsu,38.0833,138.4333,9.18,67,0,6.14,JP,2023-04-01 23:20:13
58,kahului,20.8947,-156.47,31.01,40,40,8.23,US,2023-04-01 23:15:24
59,georgetown,5.4112,100.3354,27.96,91,20,1.54,MY,2023-04-01 23:17:33
60,karratha,-20.7377,116.8463,26.86,75,71,2.37,AU,2023-04-01 23:20:14
61,longyearbyen,78.2186,15.6401,-12.09,72,75,3.6,SJ,2023-04-01 23:20:15
62,hilo,19.7297,-155.09,29.6,74,40,4.12,US,2023-04-01 23:20:15
63,elbistan,38.2059,37.1983,4.74,77,71,1.19,TR,2023-04-01 23:20:16
64,mandalgovi,45.7625,106.2708,-11.99,81,97,11.1,MN,2023-04-01 23:20:17
65,victoria,22.2855,114.1577,22.19,92,99,4.47,HK,2023-04-01 23:18:06
66,atuona,-9.8,-139.0333,27.09,75,21,6.77,PF,2023-04-01 23:20:18
67,aksu,41.1231,80.2644,7.99,14,0,1.99,CN,2023-04-01 23:20:19
68,narsaq,60.9167,-46.05,-1.88,77,57,3.9,GL,2023-04-01 23:20:19
69,el dorado,38.7666,-120.5177,13.84,54,73,2.68,US,2023-04-01 23:20:20
70,tortoli,39.9256,9.6572,13.9,44,20,3.09,IT,2023-04-01 23:20:21
71,kosh-agach,50.0,88.6667,-23.94,84,68,2.44,RU,2023-04-01 23:20:21
72,paamiut,61.994,-49.6678,-3.55,68,100,5.09,GL,2023-04-01 23:20:22
73,coahuayana,18.7333,-103.6833,29.55,41,86,2.86,MX,2023-04-01 23:20:22
74,jalu,29.0331,21.5482,19.4,19,0,4.25,LY,2023-04-01 23:20:23
75,katsuura,35.1333,140.3,14.84,68,100,6.51,JP,2023-04-01 23:20:23
76,roald,62.5833,6.1333,3.2,74,42,2.57,NO,2023-04-01 23:20:24
77,baker city,44.7749,-117.8344,5.33,66,40,1.54,US,2023-04-01 23:19:37
78,sitka,57.0531,-135.33,3.94,81,75,4.63,US,2023-04-01 23:20:26
79,jumla,29.2747,82.1838,1.72,90,58,1.76,NP,2023-04-01 23:20:26
80,belaya gora,68.5333,146.4167,-22.73,86,81,1.28,RU,2023-04-01 23:20:27
81,carnarvon,-24.8667,113.6333,23.64,78,56,5.44,AU,2023-04-01 23:20:28
82,pisco,-13.7,-76.2167,25.03,78,0,9.26,PE,2023-04-01 23:20:28
83,tuatapere,-46.1333,167.6833,10.91,79,100,4.85,NZ,2023-04-01 23:20:29
84,ancud,-41.8697,-73.8203,12.09,85,77,2.56,CL,2023-04-01 23:16:30
85,udimskiy,61.1417,45.9144,-1.12,96,99,0.65,RU,2023-04-01 23:20:30
86,mmathubudukwane,-24.6,26.4333,21.73,52,45,3.07,BW,2023-04-01 23:20:31
87,kakonko,-3.2828,30.9642,15.6,96,56,0.88,TZ,2023-04-01 23:20:31
88,butaritari,3.0707,172.7902,27.5,76,100,5.77,KI,2023-04-01 23:20:32
89,baiyin,36.5583,104.2081,1.8,79,100,5.38,CN,2023-04-01 23:20:32
90,yellowknife,62.456,-114.3525,-11.71,72,100,6.69,CA,2023-04-01 23:20:00
91,mar del plata,-38.0023,-57.5575,17.27,77,0,3.6,AR,2023-04-01 23:19:34
92,half moon bay,37.4636,-122.4286,19.12,57,0,7.2,US,2023-04-01 23:19:37
93,thompson,55.7435,-97.8558,-6.91,35,75,5.14,CA,2023-04-01 23:20:35
94,nikolskoye,59.7035,30.7861,-1.06,96,94,2.28,RU,2023-04-01 23:20:36
95,port elizabeth,-33.918,25.5701,18.51,96,1,0.89,ZA,2023-04-01 23:20:36
96,sulangan,11.1373,123.7228,27.1,78,100,4.09,PH,2023-04-01 23:20:37
97,dharchula,29.85,80.5333,11.34,74,84,1.98,IN,2023-04-01 23:20:38
98,bluff,-46.6,168.3333,13.22,67,100,6.97,NZ,2023-04-01 23:20:38
99,zheleznodorozhnyy,55.7503,38.0042,6.31,98,100,3.17,RU,2023-04-01 23:20:39
100,sudbury,46.49,-80.99,-2.19,54,93,4.47,CA,2023-04-01 23:17:20
101,grindavik,63.8424,-22.4338,4.26,70,75,13.38,IS,2023-04-01 23:20:40
102,kloulklubed,7.0419,134.2556,27.28,72,75,0.85,PW,2023-04-01 23:20:40
103,rosarito,32.3333,-117.0333,20.69,64,0,4.31,MX,2023-04-01 23:20:41
104,airai,-8.9266,125.4092,17.09,91,100,0.87,TL,2023-04-01 23:20:42
105,viedma,-40.8135,-62.9967,19.53,28,83,4.32,AR,2023-04-01 23:20:42
106,el zulia,7.9325,-72.6012,23.73,100,75,0.0,CO,2023-04-01 23:20:43
107,tuktoyaktuk,69.4541,-133.0374,-20.0,71,0,4.63,CA,2023-04-01 23:20:43
108,alihe,50.5667,123.7167,6.99,85,82,1.65,CN,2023-04-01 23:20:44
109,kruisfontein,-34.0033,24.7314,14.7,76,0,1.92,ZA,2023-04-01 23:20:44
110,bathsheba,13.2167,-59.5167,26.34,73,40,9.77,BB,2023-04-01 23:20:45
111,chokurdakh,70.6333,147.9167,-28.25,98,99,3.46,RU,2023-04-01 23:20:46
112,east london,-33.0153,27.9116,20.2,85,50,4.47,ZA,2023-04-01 23:20:47
113,hasaki,35.7333,140.8333,15.22,58,61,6.41,JP,2023-04-01 23:20:47
114,grants,35.1473,-107.8514,19.13,3,0,6.17,US,2023-04-01 23:20:48
115,kudahuvadhoo,2.6708,72.8944,27.52,73,49,1.99,MV,2023-04-01 23:20:49
116,neijiang,29.5835,105.0622,17.31,89,100,3.12,CN,2023-04-01 23:20:50
117,arkhara,49.4212,130.0842,8.28,41,100,5.37,RU,2023-04-01 23:20:50
118,cherskiy,68.75,161.3,-26.48,97,100,1.86,RU,2023-04-01 23:20:52
119,bethel,41.3712,-73.414,17.93,71,23,3.58,US,2023-04-01 23:20:52
120,jawa,31.8525,35.9393,6.17,93,0,0.0,JO,2023-04-01 23:20:53
121,nanortalik,60.1432,-45.2371,-3.6,84,15,2.27,GL,2023-04-01 23:20:53
122,klaksvik,62.2266,-6.589,6.51,86,99,5.51,FO,2023-04-01 23:20:54
123,puerto ayora,-0.7393,-90.3518,28.08,89,93,2.68,EC,2023-04-01 23:20:54
124,pauini,-7.7136,-66.9764,22.82,97,81,0.75,BR,2023-04-01 23:20:55
125,arroio grande,-32.2375,-53.0869,16.11,68,1,2.58,BR,2023-04-01 23:20:55
126,meadow lake,34.8014,-106.5436,19.88,12,5,3.51,US,2023-04-01 23:20:56
127,hithadhoo,-0.6,73.0833,27.66,71,93,2.62,MV,2023-04-01 23:20:57
128,taranagar,28.6709,75.0351,21.1,62,6,3.93,IN,2023-04-01 23:20:57
129,makakilo city,21.3469,-158.0858,26.18,66,0,6.17,US,2023-04-01 23:20:59
130,goderich,43.7501,-81.7165,1.62,74,100,7.72,CA,2023-04-01 23:19:33
131,gojo,34.35,135.7,13.42,64,85,1.64,JP,2023-04-01 23:21:00
132,ypsonas,34.6884,32.9574,16.47,72,100,1.03,CY,2023-04-01 23:21:00
133,lasa,46.6166,10.7002,7.49,91,100,1.77,IT,2023-04-01 23:21:01
134,brae,60.3964,-1.353,4.41,74,18,4.0,GB,2023-04-01 23:21:01
135,aswan,24.0934,32.907,17.61,22,0,1.54,EG,2023-04-01 23:21:02
136,bauska,56.4075,24.1906,1.07,92,100,6.32,LV,2023-04-01 23:21:03
137,jibuti,11.5,42.5,25.61,71,61,2.85,DJ,2023-04-01 23:21:03
138,nhulunbuy,-12.2333,136.7667,28.34,83,80,1.03,AU,2023-04-01 23:16:19
139,porto nacional,-10.7081,-48.4172,25.0,90,89,1.7,BR,2023-04-01 23:21:04
140,margate,51.3813,1.3862,7.39,89,100,4.92,GB,2023-04-01 23:20:35
141,klerksdorp,-26.8521,26.6667,18.53,57,58,3.17,ZA,2023-04-01 23:21:05
142,geraldton,-28.7667,114.6,16.23,94,75,1.54,AU,2023-04-01 23:17:41
143,general roca,-39.0333,-67.5833,19.79,25,90,1.09,AR,2023-04-01 23:21:06
144,ginda,30.6945,78.4932,8.23,80,100,1.15,IN,2023-04-01 23:21:07
145,aldergrove,49.058,-122.4709,10.09,55,75,9.77,CA,2023-04-01 23:21:08
146,talcahuano,-36.7167,-73.1167,17.82,77,0,6.69,CL,2023-04-01 23:21:09
147,constitucion,-35.3333,-72.4167,16.43,76,67,6.35,CL,2023-04-01 23:21:09
148,komsomolskiy,40.4272,71.7189,15.4,55,99,4.12,UZ,2023-04-01 23:21:10
149,lorengau,-2.0226,147.2712,28.49,73,89,2.17,PG,2023-04-01 23:21:11
150,muzhi,65.3667,64.6667,1.8,87,100,8.66,RU,2023-04-01 23:21:11
151,hamilton,39.1834,-84.5333,6.53,75,100,7.2,US,2023-04-01 23:15:54
152,zhezkazgan,47.8043,67.7144,0.04,37,0,8.25,KZ,2023-04-01 23:21:13
153,sao filipe,14.8961,-24.4956,26.63,50,0,1.8,CV,2023-04-01 23:21:01
154,cap malheureux,-19.9842,57.6142,24.7,79,4,0.89,MU,2023-04-01 23:21:14
155,chuy,-33.6971,-53.4616,15.73,73,13,2.87,UY,2023-04-01 23:21:14
156,lebu,-37.6167,-73.65,14.32,94,99,4.14,CL,2023-04-01 23:21:15
157,port hedland,-20.3167,118.5667,26.03,94,75,2.06,AU,2023-04-01 23:21:16
158,eydhafushi,5.1033,73.0708,27.79,70,32,4.11,MV,2023-04-01 23:21:17
159,bambous virieux,-20.3428,57.7575,25.14,88,40,1.54,MU,2023-04-01 23:21:17
160,marfino,55.7028,37.3822,6.2,93,100,4.0,RU,2023-04-01 23:21:18
161,umea,63.8284,20.2597,-2.04,69,59,3.6,SE,2023-04-01 23:21:19
162,kavaratti,10.5669,72.642,27.14,68,11,2.88,IN,2023-04-01 23:21:19
163,ossora,59.2353,163.0719,-2.82,91,75,0.64,RU,2023-04-01 23:21:20
164,launceston,-41.45,147.1667,10.64,87,90,2.57,AU,2023-04-01 23:21:18
165,saint-joseph,-21.3667,55.6167,23.59,83,28,4.45,RE,2023-04-01 23:21:21
166,zhigansk,66.7697,123.3711,-21.72,98,96,7.59,RU,2023-04-01 23:21:21
167,alofi,-19.0595,-169.9187,28.94,74,83,7.72,NU,2023-04-01 23:21:22
168,ewa beach,21.3156,-158.0072,26.97,66,0,6.17,US,2023-04-01 23:21:22
169,mezen,65.8522,44.24,-13.04,97,59,2.41,RU,2023-04-01 23:21:23
170,hofn,64.2539,-15.2082,3.67,65,0,3.82,IS,2023-04-01 23:21:17
171,the valley,18.217,-63.0578,25.92,78,75,4.63,AI,2023-04-01 23:21:24
172,bonfim,3.0833,-59.95,29.49,52,37,7.45,BR,2023-04-01 23:21:25
173,mangrol,21.1167,70.1167,23.58,79,45,3.98,IN,2023-04-01 23:21:25
174,praia da vitoria,38.7333,-27.0667,18.14,94,75,8.87,PT,2023-04-01 23:21:26
175,soyo,-6.1349,12.3689,26.73,80,97,2.35,AO,2023-04-01 23:21:27
176,porto san giorgio,43.1827,13.7934,13.33,60,85,2.7,IT,2023-04-01 23:21:28
177,arraial do cabo,-22.9661,-42.0278,24.59,88,1,4.99,BR,2023-04-01 23:21:28
178,cidreira,-30.1811,-50.2056,20.93,63,95,5.64,BR,2023-04-01 23:21:29
179,saint george,37.1041,-113.5841,20.24,24,0,2.68,US,2023-04-01 23:17:37
180,sanica,44.6142,16.6411,8.23,83,99,1.87,BA,2023-04-01 23:21:30
181,moree,-29.4667,149.85,20.2,49,0,2.64,AU,2023-04-01 23:21:31
182,el guayabito,14.8333,-86.0333,30.81,48,40,4.12,HN,2023-04-01 23:21:31
183,itarema,-2.9248,-39.9167,25.58,82,100,2.84,BR,2023-04-01 23:21:32
184,port alfred,-33.5906,26.891,19.54,89,41,0.89,ZA,2023-04-01 23:21:32
185,spirit river,55.7833,-118.8361,4.37,71,52,3.14,CA,2023-04-01 23:21:33
186,nouadhibou,20.931,-17.0347,26.99,36,0,9.77,MR,2023-04-01 23:21:33
187,tynda,55.1667,124.7167,-11.04,80,100,3.66,RU,2023-04-01 23:21:34
